Deal Ref,Client,Sales Owner,Opened On,Closed On,Deal Value,Outcome,Notes
LEG-1001,Ramirez-Lewis,Nisha Pillai,2021/12/06,2022/01/25,"$4,926.14",Cancelled,
LEG-1002,Burgess-Patterson,Priya Nair,27-04-2021,19-06-2021,56463.07,Won,Renewal
LEG-1003,"Lynch, Hernandez and Farmer",Priya Nair,16-05-2022,02-07-2022,40628.31,Lost,Discount applied
LEG-1004,"Lynch, Hernandez and Farmer",Sneha Kapoor,11/04/2022,02/20/2023,86537.16,Cancelled,
LEG-1005,Burgess-Patterson,Sneha Kapoor,2022/10/10,,66990.07,In Progress,Migrated from legacy CRM
LEG-1006,Rose-Obrien,Sneha Kapoor,16-07-2022,10-08-2022,73315.27,Won,
LEG-1007,Conner Group,Aditi Sharma,05/19/2022,09/16/2022,56171.09,Won,Discount applied
LEG-1008,"Campos, Vaughn and Marquez",Sneha Kapoor,11-04-2022,17-07-2022,14102.71,Cancelled,
LEG-1009,James-Ferrell,Sneha Kapoor,2022/11/17,2023/03/12,77292.04,Won,
LEG-1010,Stanton-Gill,Priya Nair,09/25/2021,,12497.16,In Progress,Migrated from legacy CRM
LEG-1011,,Vikram Singh,2021/06/10,,25388.29,In Progress,Migrated from legacy CRM
LEG-1012,Robinson-Bright,Meera Iyer,29-11-2022,03-01-2023,78259.53,Cancelled,
LEG-1013,Lewis-Porter,Rohan Verma,12/15/2021,03/18/2022,67627.9,Won,Renewal
LEG-1014,"Lynch, Hernandez and Farmer",Arjun Rao,11/28/2021,02/14/2022,20012.52,Won,Renewal
LEG-1015,"Sellers, George and Burns",Deepak Joshi,22-12-2022,,"$31,757.34",In Progress,Migrated from legacy CRM
LEG-1016,"Campos, Vaughn and Marquez",Sneha Kapoor,30-09-2021,22-12-2021,63824.7,Won,
LEG-1017,Clark PLC,Nisha Pillai,2022/05/27,2022/08/18,"$83,228.22",Won,Migrated from legacy CRM
LEG-1018,,Karan Malhotra,28-10-2022,07-01-2023,17331.02,Lost,
LEG-1019,"Santos, Kim and Holmes",Vikram Singh,07/07/2022,,16502.4,In Progress,Renewal
LEG-1020,James-Ferrell,Nisha Pillai,08/08/2022,11/01/2022,20532.56,Cancelled,Migrated from legacy CRM
LEG-1021,Allen PLC,Arjun Rao,2022/08/25,2022/10/25,35348.25,Won,
LEG-1022,"Sellers, George and Burns",Vikram Singh,07/10/2022,11/07/2022,25233.0,Won,
LEG-1023,"Zuniga, Wong and Lynch",Vikram Singh,11-05-2022,,65710.55,In Progress,Migrated from legacy CRM
LEG-1024,"Montgomery, Hensley and Ray",Aditi Sharma,2022/03/11,2022/04/01,46753.43,Cancelled,Discount applied
LEG-1025,Underwood LLC,Nisha Pillai,2022/07/28,,16717.69,In Progress,Migrated from legacy CRM
LEG-1026,James-Ferrell,Karan Malhotra,19-01-2022,,46209.64,In Progress,Renewal
LEG-1027,"Sellers, George and Burns",Sneha Kapoor,01/21/2022,05/05/2022,30200.85,Lost,Discount applied
LEG-1028,Rose-Obrien,Rohan Verma,2021/09/21,,"$87,496.41",In Progress,
LEG-1029,Stanley LLC,Meera Iyer,2022/10/31,,66999.84,In Progress,
LEG-1030,Conner Group,Sneha Kapoor,03/23/2021,06/09/2021,11663.09,Cancelled,Renewal
