Rep Name,Territory,Quarter,Quota (USD),Manager,Last Updated By
Aditi Sharma,West,Q1 2023,214352,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q2 2023,247389,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q3 2023,219778,Anjali Desai,revops@company.com
Aditi Sharma,west,Q4 2023,211574,Anjali Desai,revops@company.com
Aditi Sharma,West,Q1 2024,243513,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q2 2024,210321,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q3 2024,223789,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q4 2024,219514,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q1 2025,217573,Anjali Desai,revops@company.com
Aditi Sharma,West,Q2 2025,236877,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q3 2025,217547,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q4 2025,217597,Anjali Desai,ops.team@company.com
Aditi Sharma,west,Q1 2026,221842,Anjali Desai,ops.team@company.com
Aditi Sharma,West,Q2 2026,239261,Anjali Desai,revops@company.com
Aditi Sharma,West,Q3 2026,226297,Anjali Desai,ops.team@company.com
Rohan Verma,North,Q1 2023,154242,Rahul Mehta,revops@company.com
Rohan Verma,North,Q2 2023,148657,Rahul Mehta,revops@company.com
Rohan Verma,North,Q3 2023,154756,Rahul Mehta,revops@company.com
Rohan Verma,North,Q4 2023,146543,Rahul Mehta,revops@company.com
Rohan Verma,North,Q1 2024,169394,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q2 2024,172776,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q3 2024,174080,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q4 2024,159033,Rahul Mehta,revops@company.com
Rohan Verma,North,Q1 2025,139326,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q2 2025,149065,Rahul Mehta,revops@company.com
Rohan Verma,North,Q3 2025,143401,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q4 2025,141368,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q1 2026,153052,Rahul Mehta,revops@company.com
Rohan Verma,North,Q2 2026,170365,Rahul Mehta,ops.team@company.com
Rohan Verma,North,Q3 2026,148894,Rahul Mehta,ops.team@company.com
Meera Iyer,North,Q1 2023,166680,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q2 2023,192686,Anjali Desai,revops@company.com
Meera Iyer,North,Q3 2023,180126,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q4 2023,204260,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q1 2024,193260,Anjali Desai,revops@company.com
Meera Iyer,North,Q2 2024,179955,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q3 2024,187438,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q4 2024,165496,Anjali Desai,revops@company.com
Meera Iyer,North,Q1 2025,167122,Anjali Desai,revops@company.com
Meera Iyer,North,Q2 2025,191577,Anjali Desai,revops@company.com
Meera Iyer,North,Q3 2025,189154,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q4 2025,189306,Anjali Desai,revops@company.com
Meera Iyer,North,Q1 2026,189377,Anjali Desai,ops.team@company.com
Meera Iyer,North,Q2 2026,181467,Anjali Desai,revops@company.com
Meera Iyer,North,Q3 2026,195260,Anjali Desai,ops.team@company.com
Karan Malhotra,East,Q1 2023,168697,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q2 2023,171296,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q3 2023,140896,Rahul Mehta,ops.team@company.com
Karan Malhotra,east,Q4 2023,170676,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q1 2024,164344,Rahul Mehta,ops.team@company.com
Karan Malhotra,East,Q2 2024,157460,Rahul Mehta,ops.team@company.com
Karan Malhotra,east,Q3 2024,168316,Rahul Mehta,ops.team@company.com
Karan Malhotra,East,Q4 2024,138531,Rahul Mehta,ops.team@company.com
Karan Malhotra,East,Q1 2025,138132,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q2 2025,167245,Rahul Mehta,ops.team@company.com
Karan Malhotra,East,Q3 2025,,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q4 2025,146909,Rahul Mehta,revops@company.com
Karan Malhotra,East,Q1 2026,164282,Rahul Mehta,revops@company.com
Karan Malhotra,east,Q2 2026,167517,Rahul Mehta,ops.team@company.com
Karan Malhotra,East,Q3 2026,156873,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q1 2023,261383,Rahul Mehta,revops@company.com
Priya Nair,South,Q2 2023,251660,Rahul Mehta,revops@company.com
Priya Nair,south,Q3 2023,244759,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q4 2023,244058,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q1 2024,238773,Rahul Mehta,revops@company.com
Priya Nair,South,Q2 2024,241564,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q3 2024,239444,Rahul Mehta,revops@company.com
Priya Nair,South,Q4 2024,265628,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q1 2025,252215,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q2 2025,271891,Rahul Mehta,revops@company.com
Priya Nair,south,Q3 2025,272628,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q4 2025,255753,Rahul Mehta,ops.team@company.com
Priya Nair,South,Q1 2026,273643,Rahul Mehta,revops@company.com
